rule_id,severity,database,table,summary,affected_rows,affected_symbols,recommendation
R003-missing-symbols,warning,shdb,shdb.sec_enforcement,256/290 (88.3%) rows with missing symbol,256,,"Investigate whether company_name / CIK / URL fields in the source can be resolved to a ticker (via dim_security or symbol_master) and add a resolution step in MDC or UDC. Until then, mark such rows as unmapped rather than silently surfacing them as actionable."
R008-mef-coverage,info,masd,masd.alphavantage_news_ticker_sentiment,AlphaVantage news sentiment: 305/305 MEF stocks (100.0%),,,Broad sources falling below 50% coverage indicate ingestion or symbol-mapping issues. Compare MASD source row counts to SHDB curated row counts to localise the bottleneck (R009 also covers analyst-grades / price-targets explicitly).
R008-mef-coverage,info,masd,masd.apewisdom_social_mentions_1d,ApeWisdom social mentions: 275/305 MEF stocks (90.2%),,30,Broad sources falling below 50% coverage indicate ingestion or symbol-mapping issues. Compare MASD source row counts to SHDB curated row counts to localise the bottleneck (R009 also covers analyst-grades / price-targets explicitly).
R008-mef-coverage,info,masd,masd.cfpb_regulatory_complaints_1d,CFPB complaints: 13/305 MEF stocks (4.3%),,292,"Sparse-expected source: low coverage is by nature, not a quality issue. Only relevant when paired with a real-world event."
R008-mef-coverage,info,masd,masd.finnhub_stocks_insider_mspr_1m,Finnhub insider MSPR: 296/305 MEF stocks (97.0%),,9,Broad sources falling below 50% coverage indicate ingestion or symbol-mapping issues. Compare MASD source row counts to SHDB curated row counts to localise the bottleneck (R009 also covers analyst-grades / price-targets explicitly).
R008-mef-coverage,info,masd,masd.finnhub_stocks_insider_txn,Finnhub insider txn: 301/305 MEF stocks (98.7%),,4,Broad sources falling below 50% coverage indicate ingestion or symbol-mapping issues. Compare MASD source row counts to SHDB curated row counts to localise the bottleneck (R009 also covers analyst-grades / price-targets explicitly).
R008-mef-coverage,info,masd,masd.fmp_analyst_estimates_1d,FMP analyst estimates: 305/305 MEF stocks (100.0%),,,Broad sources falling below 50% coverage indicate ingestion or symbol-mapping issues. Compare MASD source row counts to SHDB curated row counts to localise the bottleneck (R009 also covers analyst-grades / price-targets explicitly).
R008-mef-coverage,info,masd,masd.fmp_congress_house_trades,FMP House trades: 169/305 MEF stocks (55.4%),,136,"Sparse-expected source: low coverage is by nature, not a quality issue. Only relevant when paired with a real-world event."
R008-mef-coverage,info,masd,masd.fmp_congress_senate_trades,FMP Senate trades: 47/305 MEF stocks (15.4%),,258,"Sparse-expected source: low coverage is by nature, not a quality issue. Only relevant when paired with a real-world event."
R008-mef-coverage,info,masd,masd.fmp_stocks_insider_trades,FMP insider trades: 300/305 MEF stocks (98.4%),,5,Broad sources falling below 50% coverage indicate ingestion or symbol-mapping issues. Compare MASD source row counts to SHDB curated row counts to localise the bottleneck (R009 also covers analyst-grades / price-targets explicitly).
R008-mef-coverage,info,masd,masd.massive_stocks_news_1d,Polygon stock news: 267/305 MEF stocks (87.5%),,38,Broad sources falling below 50% coverage indicate ingestion or symbol-mapping issues. Compare MASD source row counts to SHDB curated row counts to localise the bottleneck (R009 also covers analyst-grades / price-targets explicitly).
R008-mef-coverage,info,masd,masd.massive_stocks_short_int,Polygon short interest: 305/305 MEF stocks (100.0%),,,Broad sources falling below 50% coverage indicate ingestion or symbol-mapping issues. Compare MASD source row counts to SHDB curated row counts to localise the bottleneck (R009 also covers analyst-grades / price-targets explicitly).
R008-mef-coverage,info,masd,masd.massive_stocks_short_vol_1d,Polygon short volume: 305/305 MEF stocks (100.0%),,,Broad sources falling below 50% coverage indicate ingestion or symbol-mapping issues. Compare MASD source row counts to SHDB curated row counts to localise the bottleneck (R009 also covers analyst-grades / price-targets explicitly).
R008-mef-coverage,info,masd,masd.sec_edgar_filing_events,SEC EDGAR filings: 294/305 MEF stocks (96.4%),,11,Broad sources falling below 50% coverage indicate ingestion or symbol-mapping issues. Compare MASD source row counts to SHDB curated row counts to localise the bottleneck (R009 also covers analyst-grades / price-targets explicitly).
R008-mef-coverage,info,masd,masd.secapi_regulatory_enforcement,SEC enforcement: 5/305 MEF stocks (1.6%),,300,"Sparse-expected source: low coverage is by nature, not a quality issue. Only relevant when paired with a real-world event."
R008-mef-coverage,info,masd,masd.yahoo_stocks_analyst_estimates_1d,Yahoo analyst estimates: 305/305 MEF stocks (100.0%),,,Broad sources falling below 50% coverage indicate ingestion or symbol-mapping issues. Compare MASD source row counts to SHDB curated row counts to localise the bottleneck (R009 also covers analyst-grades / price-targets explicitly).
R008-mef-coverage,info,masd,masd.yahoo_stocks_eps_momentum_1d,Yahoo EPS momentum: 305/305 MEF stocks (100.0%),,,Broad sources falling below 50% coverage indicate ingestion or symbol-mapping issues. Compare MASD source row counts to SHDB curated row counts to localise the bottleneck (R009 also covers analyst-grades / price-targets explicitly).
R008-mef-coverage,info,shdb,shdb.analyst_estimates_1d,Curated analyst estimates: 305/305 MEF stocks (100.0%),,,Broad sources falling below 50% coverage indicate ingestion or symbol-mapping issues. Compare MASD source row counts to SHDB curated row counts to localise the bottleneck (R009 also covers analyst-grades / price-targets explicitly).
R008-mef-coverage,info,shdb,shdb.congress_activity_signals,Congress activity signals: 178/305 MEF stocks (58.4%),,127,"Sparse-expected source: low coverage is by nature, not a quality issue. Only relevant when paired with a real-world event."
R008-mef-coverage,info,shdb,shdb.eps_momentum_1d,Curated EPS momentum: 305/305 MEF stocks (100.0%),,,Broad sources falling below 50% coverage indicate ingestion or symbol-mapping issues. Compare MASD source row counts to SHDB curated row counts to localise the bottleneck (R009 also covers analyst-grades / price-targets explicitly).
R008-mef-coverage,info,shdb,shdb.event_filing,SEC filing events (curated): 259/305 MEF stocks (84.9%),,46,Broad sources falling below 50% coverage indicate ingestion or symbol-mapping issues. Compare MASD source row counts to SHDB curated row counts to localise the bottleneck (R009 also covers analyst-grades / price-targets explicitly).
R008-mef-coverage,info,shdb,shdb.event_market_news,Curated market news: 305/305 MEF stocks (100.0%),,,Broad sources falling below 50% coverage indicate ingestion or symbol-mapping issues. Compare MASD source row counts to SHDB curated row counts to localise the bottleneck (R009 also covers analyst-grades / price-targets explicitly).
R008-mef-coverage,info,shdb,shdb.insider_conviction_signals,Insider conviction signals: 266/305 MEF stocks (87.2%),,39,Broad sources falling below 50% coverage indicate ingestion or symbol-mapping issues. Compare MASD source row counts to SHDB curated row counts to localise the bottleneck (R009 also covers analyst-grades / price-targets explicitly).
R008-mef-coverage,info,shdb,shdb.insider_mspr_signals,Insider MSPR signals: 296/305 MEF stocks (97.0%),,9,Broad sources falling below 50% coverage indicate ingestion or symbol-mapping issues. Compare MASD source row counts to SHDB curated row counts to localise the bottleneck (R009 also covers analyst-grades / price-targets explicitly).
R008-mef-coverage,info,shdb,shdb.insider_trades,Curated insider trades: 300/305 MEF stocks (98.4%),,5,Broad sources falling below 50% coverage indicate ingestion or symbol-mapping issues. Compare MASD source row counts to SHDB curated row counts to localise the bottleneck (R009 also covers analyst-grades / price-targets explicitly).
R008-mef-coverage,info,shdb,shdb.institutional_flow_signals,13F flow signals: 305/305 MEF stocks (100.0%),,,Broad sources falling below 50% coverage indicate ingestion or symbol-mapping issues. Compare MASD source row counts to SHDB curated row counts to localise the bottleneck (R009 also covers analyst-grades / price-targets explicitly).
R008-mef-coverage,info,shdb,shdb.institutional_holders_1q,13F institutional holders: 305/305 MEF stocks (100.0%),,,Broad sources falling below 50% coverage indicate ingestion or symbol-mapping issues. Compare MASD source row counts to SHDB curated row counts to localise the bottleneck (R009 also covers analyst-grades / price-targets explicitly).
R008-mef-coverage,info,shdb,shdb.news_av_ticker_sentiment,Curated AV news sentiment: 305/305 MEF stocks (100.0%),,,Broad sources falling below 50% coverage indicate ingestion or symbol-mapping issues. Compare MASD source row counts to SHDB curated row counts to localise the bottleneck (R009 also covers analyst-grades / price-targets explicitly).
R008-mef-coverage,info,shdb,shdb.news_ticker_sentiment_1d,Unified news sentiment: 305/305 MEF stocks (100.0%),,,Broad sources falling below 50% coverage indicate ingestion or symbol-mapping issues. Compare MASD source row counts to SHDB curated row counts to localise the bottleneck (R009 also covers analyst-grades / price-targets explicitly).
R008-mef-coverage,info,shdb,shdb.sec_enforcement,Curated SEC enforcement: 4/305 MEF stocks (1.3%),,301,"Sparse-expected source: low coverage is by nature, not a quality issue. Only relevant when paired with a real-world event."
R008-mef-coverage,info,shdb,shdb.sentiment_consumer_complaints_1d,Curated CFPB complaints: 13/305 MEF stocks (4.3%),,292,"Sparse-expected source: low coverage is by nature, not a quality issue. Only relevant when paired with a real-world event."
R008-mef-coverage,info,shdb,shdb.stock_news_1d,Curated Polygon news: 267/305 MEF stocks (87.5%),,38,Broad sources falling below 50% coverage indicate ingestion or symbol-mapping issues. Compare MASD source row counts to SHDB curated row counts to localise the bottleneck (R009 also covers analyst-grades / price-targets explicitly).
R008-mef-coverage,info,shdb,shdb.stock_short_interest,Curated short interest: 305/305 MEF stocks (100.0%),,,Broad sources falling below 50% coverage indicate ingestion or symbol-mapping issues. Compare MASD source row counts to SHDB curated row counts to localise the bottleneck (R009 also covers analyst-grades / price-targets explicitly).
R008-mef-coverage,info,shdb,shdb.stock_short_volume_1d,Curated short volume: 305/305 MEF stocks (100.0%),,,Broad sources falling below 50% coverage indicate ingestion or symbol-mapping issues. Compare MASD source row counts to SHDB curated row counts to localise the bottleneck (R009 also covers analyst-grades / price-targets explicitly).
R008-mef-coverage,info,shdb,shdb.symbol_event_sentiment_1d,Symbol event sentiment: 305/305 MEF stocks (100.0%),,,Broad sources falling below 50% coverage indicate ingestion or symbol-mapping issues. Compare MASD source row counts to SHDB curated row counts to localise the bottleneck (R009 also covers analyst-grades / price-targets explicitly).
