rule_id,severity,database,table,summary,affected_rows,affected_symbols,recommendation
R007-deprecated-tables,warning,fs,shdb.insider_mspr_1m,52 reference(s) to deprecated shdb.insider_mspr_1m in 17 file(s),52,,"Migrate live code/SQL consumers to insider_conviction_signals. Comment-only hits (READMEs, notes, this audit) are not action items."
R007-deprecated-tables,warning,fs,shdb.insider_mspr_signals,34 reference(s) to deprecated shdb.insider_mspr_signals in 16 file(s),34,,"Migrate live code/SQL consumers to insider_conviction_signals. Comment-only hits (READMEs, notes, this audit) are not action items."
R007-deprecated-tables,warning,masd,masd.finnhub_news_article_symbols,"Deprecated table masd.finnhub_news_article_symbols still present (123,114 rows)",123114,,Do not consume this table from new pipelines. Migrate any existing consumers to news_av_ticker_sentiment. Optionally add a DB COMMENT marking the table deprecated so anyone inspecting the schema sees the warning.
R007-deprecated-tables,warning,masd,masd.finnhub_news_articles,"Deprecated table masd.finnhub_news_articles still present (87,278 rows)",87278,,Do not consume this table from new pipelines. Migrate any existing consumers to alphavantage_news_sentiment_1d / news_av_ticker_sentiment. Optionally add a DB COMMENT marking the table deprecated so anyone inspecting the schema sees the warning.
R007-deprecated-tables,warning,masd,masd.finnhub_stocks_insider_mspr_1m,"Deprecated table masd.finnhub_stocks_insider_mspr_1m still present (3,796 rows)",3796,,Do not consume this table from new pipelines. Migrate any existing consumers to insider_conviction_signals. Optionally add a DB COMMENT marking the table deprecated so anyone inspecting the schema sees the warning.
R007-deprecated-tables,warning,masd,masd.finnhub_stocks_insider_txn,"Deprecated table masd.finnhub_stocks_insider_txn still present (59,887 rows)",59887,,Do not consume this table from new pipelines. Migrate any existing consumers to fmp_stocks_insider_trades / sec_edgar_filing_events (Form 4). Optionally add a DB COMMENT marking the table deprecated so anyone inspecting the schema sees the warning.
R009-thin-coverage,warning,shdb,shdb.analyst_grades,analyst-grades: thin coverage — MASD 23 sym / SHDB 23 sym,,282,"Determine whether this is a source limitation (API plan, free-tier cap), a symbol-mapping issue (curation step rejects rows that don't resolve to symbol_master), or a date-window issue (refresh cadence too tight). If source-limited: document and exclude from hard gates until fixed."
R009-thin-coverage,warning,shdb,shdb.analyst_price_targets_1d,analyst-price-targets: thin coverage — MASD 24 sym / SHDB 24 sym,,281,"Determine whether this is a source limitation (API plan, free-tier cap), a symbol-mapping issue (curation step rejects rows that don't resolve to symbol_master), or a date-window issue (refresh cadence too tight). If source-limited: document and exclude from hard gates until fixed."
R007-deprecated-tables,warning,shdb,shdb.insider_activity_signals,"Deprecated table shdb.insider_activity_signals still present (24,562 rows)",24562,,Do not consume this table from new pipelines. Migrate any existing consumers to shdb.insider_conviction_signals. Optionally add a DB COMMENT marking the table deprecated so anyone inspecting the schema sees the warning.
R007-deprecated-tables,warning,shdb,shdb.insider_mspr_1m,"Deprecated table shdb.insider_mspr_1m still present (3,742 rows)",3742,,Do not consume this table from new pipelines. Migrate any existing consumers to insider_conviction_signals. Optionally add a DB COMMENT marking the table deprecated so anyone inspecting the schema sees the warning.
R007-deprecated-tables,warning,shdb,shdb.insider_mspr_signals,"Deprecated table shdb.insider_mspr_signals still present (3,742 rows)",3742,,Do not consume this table from new pipelines. Migrate any existing consumers to insider_conviction_signals. Optionally add a DB COMMENT marking the table deprecated so anyone inspecting the schema sees the warning.
R008-mef-coverage,info,masd,masd.alphavantage_news_ticker_sentiment,AlphaVantage news sentiment: 305/305 MEF stocks (100.0%),,,Broad sources falling below 50% coverage indicate ingestion or symbol-mapping issues. Compare MASD source row counts to SHDB curated row counts to localise the bottleneck (R009 also covers analyst-grades / price-targets explicitly).
R008-mef-coverage,info,masd,masd.apewisdom_social_mentions_1d,ApeWisdom social mentions: 275/305 MEF stocks (90.2%),,30,Broad sources falling below 50% coverage indicate ingestion or symbol-mapping issues. Compare MASD source row counts to SHDB curated row counts to localise the bottleneck (R009 also covers analyst-grades / price-targets explicitly).
R008-mef-coverage,info,masd,masd.cfpb_regulatory_complaints_1d,CFPB complaints: 13/305 MEF stocks (4.3%),,292,"Sparse-expected source: low coverage is by nature, not a quality issue. Only relevant when paired with a real-world event."
R008-mef-coverage,info,masd,masd.fmp_analyst_estimates_1d,FMP analyst estimates: 305/305 MEF stocks (100.0%),,,Broad sources falling below 50% coverage indicate ingestion or symbol-mapping issues. Compare MASD source row counts to SHDB curated row counts to localise the bottleneck (R009 also covers analyst-grades / price-targets explicitly).
R008-mef-coverage,info,masd,masd.fmp_congress_house_trades,FMP House trades: 169/305 MEF stocks (55.4%),,136,"Sparse-expected source: low coverage is by nature, not a quality issue. Only relevant when paired with a real-world event."
R008-mef-coverage,info,masd,masd.fmp_congress_senate_trades,FMP Senate trades: 47/305 MEF stocks (15.4%),,258,"Sparse-expected source: low coverage is by nature, not a quality issue. Only relevant when paired with a real-world event."
R008-mef-coverage,info,masd,masd.fmp_stocks_insider_trades,FMP insider trades: 300/305 MEF stocks (98.4%),,5,Broad sources falling below 50% coverage indicate ingestion or symbol-mapping issues. Compare MASD source row counts to SHDB curated row counts to localise the bottleneck (R009 also covers analyst-grades / price-targets explicitly).
R008-mef-coverage,info,masd,masd.massive_stocks_news_1d,Polygon stock news: 267/305 MEF stocks (87.5%),,38,Broad sources falling below 50% coverage indicate ingestion or symbol-mapping issues. Compare MASD source row counts to SHDB curated row counts to localise the bottleneck (R009 also covers analyst-grades / price-targets explicitly).
R008-mef-coverage,info,masd,masd.massive_stocks_short_int,Polygon short interest: 305/305 MEF stocks (100.0%),,,Broad sources falling below 50% coverage indicate ingestion or symbol-mapping issues. Compare MASD source row counts to SHDB curated row counts to localise the bottleneck (R009 also covers analyst-grades / price-targets explicitly).
R008-mef-coverage,info,masd,masd.massive_stocks_short_vol_1d,Polygon short volume: 305/305 MEF stocks (100.0%),,,Broad sources falling below 50% coverage indicate ingestion or symbol-mapping issues. Compare MASD source row counts to SHDB curated row counts to localise the bottleneck (R009 also covers analyst-grades / price-targets explicitly).
R003-missing-symbols,info,masd,masd.sec_edgar_filing_events,"actionable: 0 | monitor: 10,183 (delisted+ambiguous) | structural: 100,097 (Form 4 / non-equity)",,,"Form 4 / 4-A filings have filer_type=person — the cik refers to an insider, not a tradable entity. Those NULLs are correct. delisted_or_unmapped and ambiguous rows are visible but not active defects. Genuinely actionable rows (status=unknown or filer_type=unknown with NULL ticker) are rare; investigate those individually."
R008-mef-coverage,info,masd,masd.sec_edgar_filing_events,SEC EDGAR filings: 294/305 MEF stocks (96.4%),,11,Broad sources falling below 50% coverage indicate ingestion or symbol-mapping issues. Compare MASD source row counts to SHDB curated row counts to localise the bottleneck (R009 also covers analyst-grades / price-targets explicitly).
R003-missing-symbols,info,masd,masd.secapi_regulatory_enforcement,243/597 (40.7%) actionable missing symbol; 282 structurally NULL,243,,Investigate whether company_name / CIK fields can be resolved to a ticker. Rows the resolver leaves NULL are explained by entity_type — UDC consumers should filter `entity_type='company' AND symbol IS NOT NULL` for per-symbol equity signals.
R008-mef-coverage,info,masd,masd.secapi_regulatory_enforcement,SEC enforcement: 5/305 MEF stocks (1.6%),,300,"Sparse-expected source: low coverage is by nature, not a quality issue. Only relevant when paired with a real-world event."
R003-missing-symbols,info,masd,masd.secapi_regulatory_penalties,19/130 (14.6%) actionable missing symbol; 109 structurally NULL,19,,Investigate whether company_name / CIK fields can be resolved to a ticker. Rows the resolver leaves NULL are explained by entity_type — UDC consumers should filter `entity_type='company' AND symbol IS NOT NULL` for per-symbol equity signals.
R008-mef-coverage,info,masd,masd.yahoo_stocks_analyst_estimates_1d,Yahoo analyst estimates: 305/305 MEF stocks (100.0%),,,Broad sources falling below 50% coverage indicate ingestion or symbol-mapping issues. Compare MASD source row counts to SHDB curated row counts to localise the bottleneck (R009 also covers analyst-grades / price-targets explicitly).
R008-mef-coverage,info,masd,masd.yahoo_stocks_eps_momentum_1d,Yahoo EPS momentum: 305/305 MEF stocks (100.0%),,,Broad sources falling below 50% coverage indicate ingestion or symbol-mapping issues. Compare MASD source row counts to SHDB curated row counts to localise the bottleneck (R009 also covers analyst-grades / price-targets explicitly).
R008-mef-coverage,info,shdb,shdb.analyst_estimates_1d,Curated analyst estimates: 305/305 MEF stocks (100.0%),,,Broad sources falling below 50% coverage indicate ingestion or symbol-mapping issues. Compare MASD source row counts to SHDB curated row counts to localise the bottleneck (R009 also covers analyst-grades / price-targets explicitly).
R008-mef-coverage,info,shdb,shdb.congress_activity_signals,Congress activity signals: 178/305 MEF stocks (58.4%),,127,"Sparse-expected source: low coverage is by nature, not a quality issue. Only relevant when paired with a real-world event."
R008-mef-coverage,info,shdb,shdb.eps_momentum_1d,Curated EPS momentum: 305/305 MEF stocks (100.0%),,,Broad sources falling below 50% coverage indicate ingestion or symbol-mapping issues. Compare MASD source row counts to SHDB curated row counts to localise the bottleneck (R009 also covers analyst-grades / price-targets explicitly).
R008-mef-coverage,info,shdb,shdb.event_filing,SEC filing events (curated): 259/305 MEF stocks (84.9%),,46,Broad sources falling below 50% coverage indicate ingestion or symbol-mapping issues. Compare MASD source row counts to SHDB curated row counts to localise the bottleneck (R009 also covers analyst-grades / price-targets explicitly).
R008-mef-coverage,info,shdb,shdb.event_market_news,Curated market news: 305/305 MEF stocks (100.0%),,,Broad sources falling below 50% coverage indicate ingestion or symbol-mapping issues. Compare MASD source row counts to SHDB curated row counts to localise the bottleneck (R009 also covers analyst-grades / price-targets explicitly).
R008-mef-coverage,info,shdb,shdb.insider_conviction_signals,Insider conviction signals: 266/305 MEF stocks (87.2%),,39,Broad sources falling below 50% coverage indicate ingestion or symbol-mapping issues. Compare MASD source row counts to SHDB curated row counts to localise the bottleneck (R009 also covers analyst-grades / price-targets explicitly).
R008-mef-coverage,info,shdb,shdb.insider_trades,Curated insider trades: 300/305 MEF stocks (98.4%),,5,Broad sources falling below 50% coverage indicate ingestion or symbol-mapping issues. Compare MASD source row counts to SHDB curated row counts to localise the bottleneck (R009 also covers analyst-grades / price-targets explicitly).
R008-mef-coverage,info,shdb,shdb.institutional_flow_signals,13F flow signals: 305/305 MEF stocks (100.0%),,,Broad sources falling below 50% coverage indicate ingestion or symbol-mapping issues. Compare MASD source row counts to SHDB curated row counts to localise the bottleneck (R009 also covers analyst-grades / price-targets explicitly).
R008-mef-coverage,info,shdb,shdb.institutional_holders_1q,13F institutional holders: 305/305 MEF stocks (100.0%),,,Broad sources falling below 50% coverage indicate ingestion or symbol-mapping issues. Compare MASD source row counts to SHDB curated row counts to localise the bottleneck (R009 also covers analyst-grades / price-targets explicitly).
R008-mef-coverage,info,shdb,shdb.news_av_ticker_sentiment,Curated AV news sentiment: 305/305 MEF stocks (100.0%),,,Broad sources falling below 50% coverage indicate ingestion or symbol-mapping issues. Compare MASD source row counts to SHDB curated row counts to localise the bottleneck (R009 also covers analyst-grades / price-targets explicitly).
R008-mef-coverage,info,shdb,shdb.news_ticker_sentiment_1d,Unified news sentiment: 305/305 MEF stocks (100.0%),,,Broad sources falling below 50% coverage indicate ingestion or symbol-mapping issues. Compare MASD source row counts to SHDB curated row counts to localise the bottleneck (R009 also covers analyst-grades / price-targets explicitly).
R003-missing-symbols,info,shdb,shdb.sec_enforcement,117/290 (40.3%) actionable missing symbol; 139 structurally NULL,117,,Investigate whether company_name / CIK fields can be resolved to a ticker. Rows the resolver leaves NULL are explained by entity_type — UDC consumers should filter `entity_type='company' AND symbol IS NOT NULL` for per-symbol equity signals.
R008-mef-coverage,info,shdb,shdb.sec_enforcement,Curated SEC enforcement: 4/305 MEF stocks (1.3%),,301,"Sparse-expected source: low coverage is by nature, not a quality issue. Only relevant when paired with a real-world event."
R003-missing-symbols,info,shdb,shdb.sec_penalties,7/55 (12.7%) actionable missing symbol; 46 structurally NULL,7,,Investigate whether company_name / CIK fields can be resolved to a ticker. Rows the resolver leaves NULL are explained by entity_type — UDC consumers should filter `entity_type='company' AND symbol IS NOT NULL` for per-symbol equity signals.
R008-mef-coverage,info,shdb,shdb.sentiment_consumer_complaints_1d,Curated CFPB complaints: 13/305 MEF stocks (4.3%),,292,"Sparse-expected source: low coverage is by nature, not a quality issue. Only relevant when paired with a real-world event."
R008-mef-coverage,info,shdb,shdb.stock_news_1d,Curated Polygon news: 267/305 MEF stocks (87.5%),,38,Broad sources falling below 50% coverage indicate ingestion or symbol-mapping issues. Compare MASD source row counts to SHDB curated row counts to localise the bottleneck (R009 also covers analyst-grades / price-targets explicitly).
R008-mef-coverage,info,shdb,shdb.stock_short_interest,Curated short interest: 305/305 MEF stocks (100.0%),,,Broad sources falling below 50% coverage indicate ingestion or symbol-mapping issues. Compare MASD source row counts to SHDB curated row counts to localise the bottleneck (R009 also covers analyst-grades / price-targets explicitly).
R008-mef-coverage,info,shdb,shdb.stock_short_volume_1d,Curated short volume: 305/305 MEF stocks (100.0%),,,Broad sources falling below 50% coverage indicate ingestion or symbol-mapping issues. Compare MASD source row counts to SHDB curated row counts to localise the bottleneck (R009 also covers analyst-grades / price-targets explicitly).
R008-mef-coverage,info,shdb,shdb.symbol_event_sentiment_1d,Symbol event sentiment: 305/305 MEF stocks (100.0%),,,Broad sources falling below 50% coverage indicate ingestion or symbol-mapping issues. Compare MASD source row counts to SHDB curated row counts to localise the bottleneck (R009 also covers analyst-grades / price-targets explicitly).
